,Tweets
111,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps
112,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps
113,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps
114,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps
115,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines
116,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines
117,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines
118,axisbank give green signal yesbank sell reliancecapital asset per rbi guideline
119,axisbanksupport dubeysonuji never ending sir make customer fool false charge unwant httpstcozcczualgxm
120,axisbanksupport dubeysonuji never ending sir make customer fool false charge unwant httpstcozcczualgxm
121,hi maam view axisbank aswathiguna possible pt next week
122,lakshminarash market bounce back expect minimum 50 r rally upside axisbank
123,axisbank httpstco8gc1yavgu8
124,nifty banknifty adaniport axisbank bajajauto bpcl britannia bhartiartl hcltech hdfc heromotoco hindalco httpstcowbfedg1wmq
125,happy father day happyfathersday2021 fathersday grabdeals axisbank httpstcozwkhzpcuny
126,banking sector update stockmarket investing stock trading money investment finance icici knowledge httpstcogl1vujcdro
127,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines
128,axis bank httpstcoa4rnenrulk axisbank httpstcorhdhdlm5us
129,axisbank nifty 745751 good supply zone 714687644 level view invalid 760 httpstcozahkhnlr3b
130,petrolprice httpstcowx5bqqnnjm
131,buy axis cash axis bank fut 734735 sl 720 tgt 760780800 axisbank
132,therosheshh huge seller 750 axisbank highly unlikely close level wi httpstcojkawngoxho
133,axisbank buy 760 keep sl 720 tgt 12 httpstcoeezkl9loli
134,many heavyweight weak day sell rise sbin icicibank mnmfin axisbank itc tatamotors frontpage_app
135,irritating price trap since morning axisbank nifty trading zerodha httpstcoscrupk83dh
136,long overdue icicibank axisbank making intraday high together bank pvtbanks
137,icicibank calling people credit card protection number 911246525614 behalf axisbank stop haras httpstcoohl5yyyy2q
138,axisbank provides poor complaint resolution talking customer care nightmare pathetic service
139,rt kumar_amit2812 axisbank provides poor complaint resolution talking customer care nightmare pathetic service
140,axisbank provides poor resolution locked account even paying credit card due
141,axisbank provides poor resolution account blocked even paying due credit card rbi mu httpstcoeethdvo0js
142,soon able pay smartwatch bank coming smart wearable ankur_sg httpstcoq0qku5z8ab
143,axis bank another leading commercial bank india offering best deal business loan need httpstcoo6av1aitjh
144,axis bank httpstcokjpspl1zfc
145,axisbanksupport axisbank axisbank axisbankghatiyahai httpstcomyosw7vhl2
146,axisbanksupport axisbank axisbank axisbankghatiyahai httpstcomyosw7vhl2
147,rt russh_in legend spoken httpstcoylssyc9otv chellam familyman2 creditcard giveback offer cashback axisbank chell
148,get r 1000 using russh app httpstconfckwghrfa giveback axisbank offer
149,jackpotpremium tip 21st june result 2021 1 tatasteel fo july profit r 2154750lot httpstcowobkpxuups
150,suggestion axis bank axisbank chart httpstco7obeydn0aw
151,axisbank axisbanksupport done international payment using debit card transaction gett httpstcojecfrfkgfi
152,axisbank axisbanksupport done international payment using debit card transaction gett httpstcojecfrfkgfi
153,also need follow even several email branch manager answer axisbank axisbanksupport httpstcoeqdt3hyjxo
154,axisbank tried many time increase apy amount rs1000 rs5000 plan visited axisbank seve httpstcoku23cqngsk
155,insurance person minimum salary must 50k avail personal loan non insurance p httpstcowbp5ldhzw8
156,15 india bank technology axisbank icicibank kotak mahindrabank httpstcoycvdhfkj3h
157,rt gomantakdainik 15 india bank technology axisbank icicibank kotak mahindrabank hdfcba
158,rt livestockrates pubg owner set become billionaire kraftons mega ipo tbg livestockrates finance market trading nsel
159,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua
160,axisbank mutualfund awesome axismutualfund disappointed last 1 year happy invester
161,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
162,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
163,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
164,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
165,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser
166,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54
167,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser
168,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54
169,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser
170,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54
171,jayeshd90655240 hdfcbank_cares avoid axisbank
172,jayeshd90655240 hdfcbank_cares avoid axisbank
173,shrutikaraut6 worst bank came acrossall service axisbank worstincluding fastagt httpstcoufmrpsox44
174,rt kimansingh17 shrutikaraut6 worst bank came acrossall service axisbank worstincluding fastagthey ar
175,axisbanksupport nee_sri dont expect much support bankthey dm false promisesalso close yo httpstcoo1flzw0ass
176,axisbanksupport axisbank17 day lapsed since replacement request fastag raised ha httpstcoulglhh0ycm
177,axisbanksupport axisbank resolved issue post account everyone see httpstcoeay2thktrp
178,axisbank yet receive reply team behaving like fraudsters status query fraudbank
179,axisbanksupport axisbank yet receive reply team behaving like fraudsters httpstcow5xqnvfn34
180,axisbanksupport axisbank yet receive reply team reason sending fastag httpstcoq06qj8o9e7
181,rt kimansingh17 axisbanksupport axisbank yet receive reply team behaving like fraudsters
182,rt kimansingh17 axisbank yet receive reply team behaving like fraudsters status query
183,axisbanksupport nee_sri dont expect much support bankthey dm false promisesalso close yo httpstcoo1flzw0ass
184,rt leothesher axisbank worst banking debited rs8400 accountstill waiting reversal bit 5 june c
185,axisbank seems getting ready upward journey httpstcon81xxdxpg5
186,rt mech118ar axisbank seems getting ready upward journey httpstcon81xxdxpg5
187,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua
188,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv
189,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
190,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
191,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
192,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
193,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
194,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv
195,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
196,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
197,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
198,focus pvt bank hdfcbank icicibank axisbank
199,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv
200,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
201,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban
202,axisbank target 74345 current level 730
203,target achieved axisbank httpstco1lsv6cqylc
204,axisbank worst banking debited rs8400 accountstill waiting reversal bit 5 june httpstcowyz4vqun2s
205,still recd revert axisbank passed 17 day awaiting reversal complaint 67763865 httpstcotfyfwehkl3
206,follow u update 360_financial_associates stockmarket stock stocktobuy sharemarket httpstconqgws3kdzj
207,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
208,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
209,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
210,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
211,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
212,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
213,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
214,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
215,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh
216,axisbank sell 742 stop loss 74250 target open segment future frontpage_app
217,axisbank buy 743 stop loss 74250 target open segment future frontpage_app
218,candletricks axisbank looking bullish httpstcomyastxopma httpstcotukdi0fnsl
219,company grown profit highest rate nifty 50 index note purely f httpstcokgsd2ojqpe
220,marketupdate share axis bank logged strong gain last year outperforming benchmark ind httpstco5pl0ye0tti
221,marketupdate governance expert questioned proposed transaction pnb housing finance u pri httpstcojdhaed3cwf
222,rt investonline_in marketupdate share axis bank logged strong gain last year outperforming benchmark index
223,httpstcounpsulchnt nifty banknifty relianceindustries nifty50 nifty sbin axisbank market stoc httpstconfhtcmxwtv
224,axis bank stock jumped 72 last year read httpstcohryxr4doz3 latestnews axisbank stock httpstcolms9txm3w7
225,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua
226,axisbank
227,axisbank axisbanksupport something new side every month loan axisbank customersupport
228,axisbank axisbanksupport something new side every month loan axisbank customersupport
229,axisbanksupport guy nothing wanted wasted time dm want follow everything based httpstcoy5b9ytssl6
230,worst credit card service guy try mislead consumer cheap selling skill axisbank worstcreditcard axiscreditcard
231,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua
232,axisbank 286 range closing basis past 21 session 29 day atm straddle 62 1405 httpstco3cxl8m5yk1
233,rt marketswithkr axisbank 286 range closing basis past 21 session 29 day atm straddle 62 1405
234,axisbank follow watch list httpstcoj7jwntp8pq
235,rt srvithal388 axisbank follow watch list httpstcoj7jwntp8pq
236,nowadays citizen r witnessing corporate bank like axisbank looting customer charging violating httpstcoyjf9vuzub1
237,axisbank notified abiut charge account opening time writing change 30 day befor httpstco0ukvew8kzx
238,sleeping type corporates bank like axisbank looting pl aware abiut righ httpstcof8gyjkvtqt
239,rt bandanamrs axisbank notified abiut charge account opening time writing change 30 day chang
240,rt bandanamrs sleeping type corporates bank like axisbank looting pl aware abiut right ta
241,axisbanksupport axisbank pay charge deduct account name monthly minimu httpstcoheonfpogef
242,axisbanksupport axisbank pay charge deduct account name monthly minimu httpstcoheonfpogef
243,axisbank worst axisbank
244,recorded conversation well future reference showing poor quality service axisbank axisbank
245,axisbanksupport axisbank namesake support issue dm send u website link ask u reach customer httpstco3mcnpqkxai
246,axisbank axisbanksupport past 39 min put hold 6 call transfer foe one qurey u keep httpstcoryhxqia8wa
247,axisbank axisbanksupport past 39 min put hold 6 call transfer foe one qurey u keep httpstcoryhxqia8wa
248,6axisbank eq profit rs6share 7sbilife eq loss rs540share 8nifty fut loss rs90002lot 9 httpstcoj1exetzjjx
249,4adanient 1500pe june pending 5axisbank eq profit rs5share
250,added axisbank jul 650 put 25 r sl 0 mbga nifty50 shortthemarket letusfightwithfed
251,exit axisbank 37
252,bank defrauds customer last 1 month axisbanks internet banking issue httpstcojimuin4lvs
253,rt dharmit_joshi bank defrauds customer last 1 month axisbanks internet banking issue
254,axisbank axisbankcreditcard rbi pmoindia vijayrupani pandemic bankcharges
255,axisbanksupport dont waste time dm let talk people read give internet banking portal httpstcodpl5e7gkq4
256,rt dharmit_joshi axisbanksupport dont waste time dm let talk people read give internet banking portal
257,axisbanksupport screenshot axisbankfraudwithpeople axisbank bankfraud rbi httpstcoda3ykgy19q
258,rt dharmit_joshi axisbanksupport screenshot axisbankfraudwithpeople axisbank bankfraud rbi httpstcoda
259,rt niraj3392135 16221 108 day 4621 4621 1 imp number identified mentioned stock see major move
260,deepakshenoy axisbank also doesnt allowthats really stupid
261,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstco8yl0sminob
262,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstcoktgwox6yl4
263,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstco1fdhl52lhn
264,rt creditcardz_in save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz
265,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja
266,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz
267,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst
268,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst
269,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja
270,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz
271,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst
272,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst
273,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja
274,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz
275,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst
276,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst
277,axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja
278,axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz
279,axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpstcoyogfvj5wex
280,axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpstcozysjaxzqt8
281,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja
282,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz
283,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst
284,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst
285,rt anandapatil76
286,axisbank abusive staff got fed shouted back henceforth anytime call cx care tag line httpstcoz659nvtuvi
287,axisbanksupport finishinh payment activated card without permission charged httpstcoksu6fxddko
288,rt anandapatil76
289,rt anandapatil76
290,rt anandapatil76
291,iv axisbank falling potential call calendar spread julyaug right bit ex httpstcoaehol7mrll
292,axisbank axisbanksupport disappointed service raised complaint 2 day already httpstcodd0ddytdko
293,axisbank axisbanksupport disappointed service raised complaint 2 day already httpstcodd0ddytdko
294,rt anandapatil76
295,etgov explained public procurement government emarketplace publicprocurement governmentemarketplace gdp httpstcoht0kmxld9l
296,sold axisbank share smallcasehq axisbank ethical transparent company nseindia ver httpstcopu9efrnozp
297,sold axisbank share smallcasehq axisbank ethical transparent company nseindia ver httpstcopu9efrnozp
298,sold axisbank share smallcasehq axisbank ethical transparent company nseindia ver httpstcopu9efrnozp
299,feel weird without debit card almost 2 month axisbank thought also phone banking httpstcovblgdvggat
300,fintalk google pay httpstcosnadj9gwhn
301,axis android application working axisbank axisbank axisbanksupport
302,axis android application working axisbank axisbank axisbanksupport
303,ipo_mantra someone help understand apply hni category using axis bank asba option httpstco2srv0yhkzz
304,axissupport axisbank fraudataxisbank lot charge reason axis bank really pain suggest fo httpstcoi5mn8u2axs
305,rt ramkiveda axissupport axisbank fraudataxisbank lot charge reason axis bank really pain suggest folk
306,adamfredie axisbanksupport true continuously humiliated axisbank last 1 month
307,adamfredie axisbanksupport true continuously humiliated axisbank last 1 month
308,rt eofmarketexpert hdfc bank 33833 cr sbi 22405 cr icici bank 18384 cr kotak bank 9
309,rt eofmarketexpert hdfc bank 33833 cr sbi 22405 cr icici bank 18384 cr kotak bank 9
310,rt eofmarketexpert hdfc bank 33833 cr sbi 22405 cr icici bank 18384 cr kotak bank 9
311,banknifty review june 24 2021 niftybank opened strongly consolidated 34600 34800 crosse httpstcolj18jry8av
312,rt eofmarketexpert hdfc bank 33833 cr sbi 22405 cr icici bank 18384 cr kotak bank 9
313,rt tenshares sensex bse itc maruti bhartiairtel ongc hdfc infosys tc reliance kotakbank icicibank hdfcbank titan axisbank
314,rt eofmarketexpert hdfc bank 33833 cr sbi 22405 cr icici bank 18384 cr kotak bank 9
315,hindalco fall 289 eichermotors 246 drreddyslabs slip 221 coalindia loses 219 heromotocorp httpstcodkohwuazja
316,marutisuzuki slip 202 bajajauto slip 152 axisbank 151 bhartiairtel slip 144 hdfc fall 137 httpstcokbw2wo8exy
317,axisbank shrink 149 ausmallfinanc loses 136 sbi 134 idfcfirstbank 128 hdfcbank slip 125 httpstcogf24dqprjj
318,ultratechcement 036 icicibank 036 asianpaints loses 035 axisbank slip 022 marutisuzuki fall httpstcocn2eegqmqb
319,rblbank slip 141 bandhanbank loses 071 icicibank 041 idfcfirstbank 035 kotakmahindra loses httpstcos2da0clrl8
