,Tweets,Sentiment
30,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
31,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
32,stock high fii holding telegram httpstcovbne3j8t39 valuemulticaps bank hdfc zee shriram httpstcotro4wf47bj,Positive
33,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
34,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
35,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
36,rt bsindia two bank jointly owed r 1575 cr objected sale unless due paid yesbank recently moved,Negative
37,rt bsindia two bank jointly owed r 1575 cr objected sale unless due paid yesbank recently moved,Negative
38,rt bsindia two bank jointly owed r 1575 cr objected sale unless due paid yesbank recently moved,Negative
39,bank provide loan buying new land plot india interest rate detail bank please httpstcokj2jijviwf,Positive
40,axisbank 752 728 target 1 achieved httpstcojte0rildx8,Neutral
41,rt bsindia two bank jointly owed r 1575 cr objected sale unless due paid yesbank recently moved,Negative
42,two bank jointly owed r 1575 cr objected sale unless due paid yesbank recent httpstcoyleb0pr4hz,Negative
43,rt bsindia two bank jointly owed r 1575 cr objected sale unless due paid yesbank recently moved,Negative
44,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
45,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
46,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
47,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
48,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
49,stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail httpstcosxfhzawhyc,Neutral
50,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
51,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
52,axisbank httpstcovpeyw8cwsu,Neutral
53,axisbank form gapdown pattern bearish httpstcocy3bodsgnh httpstcog65reuopuq,Neutral
54,rt etnowlive stockstowatch yesbank axisbank give approval reliancecapital asset sale check detail axisbank relian,Neutral
55,rt vikas87_singh axisbanksupport great time bye bye axisbank cc,Positive
56,rt vikas87_singh axisbanksupport great time bye bye axisbank cc,Positive
57,stake sale sbicard sharemarketindia stocknews sharebazaar stockmarketupdate indianstockmarketnews sbi httpstcojr2wetesbd,Neutral
58,property municipal tax tax delhi axisbank letterstopresident bank online form ltgovdelhi axisbank httpstcofevyzim0lh,Neutral
59,property municipal tax tax delhi axisbank letterstopresident bank online form ltgovdelhi axisbank httpstcofevyzim0lh,Neutral
60,axisbank stock volume added demand718 725 zone nifty httpstcopkhx1zagxk,Neutral
61,axisbank fuck fuck fuck axis bank employee amitabh choudhary,Negative
62,axisbank httpstcoizursbol2z,Neutral
63,15 indian bank form firm process letter credit blockchain move remove paperwork reduce tr httpstco7ng1ulxpum,Negative
64,rt quitehacker 15 indian bank form firm process letter credit blockchain move remove paperwork reduce transacti,Negative
65,axis bank limited target hit axisbank stockmarket join telegram httpstcohkv4lfvleh httpstcorn5mbvgl7s,Negative
66,axis bank limited target hit axisbank stockmarket join telegram httpstco5xdkadoszg httpstcoipeml25avl,Negative
67,hold axisbank per technical nifty sensex form hangingman candlestick pattern uptrend httpstcolhopus3yyb,Neutral
68,rt karandx sip axisbank month 4000 deducted 2000 credited polortfolio also deduct r 50 sip bounc,Neutral
69,innovation nse bse trading stock stockmarket analystmeetinvestormeet axisbank announcement regula httpstco2whucl5yna,Neutral
70,innovation nse bse trading stock stockmarket analystmeetinvestormeet axisbank analystsinstitutional httpstcoxwg67oyfr0,Neutral
71,rt vikas87_singh warning axisbank cc,Neutral
72,axisbanksupport axisbank even closing account staff calling tell wrong bad att httpstco7tb3lezto9,Negative
73,axisbanksupport axisbank even closing account staff calling tell wrong bad att httpstco7tb3lezto9,Negative
74,axisbanksupport axisbanksupport axisbank even closing account staff calling tell wr httpstco4xtlph72ug,Neutral
75,axisbanksupport axisbanksupport axisbank even closing account staff calling tell wr httpstco4xtlph72ug,Neutral
76,axisbanksupport copy paste msg solution axisbank staff rude,Negative
77,axisbanksupport responding solution axisbank staff rude,Negative
78,10 mutual fund apps india making name see httpstcocyn008zuu8 isrgrajan httpstcosmr6hqr6oc,Neutral
79,10 mutual fund apps india making name see httpstcocyn008zuu8 isrgrajan httpstcodpnftgqfje,Neutral
80,fast amp stressfree home loan approval know best rate hdfc axisbank icici federalbank lic pnb httpstcoupbu30zb6o,Positive
81,rt homelyyours fast amp stressfree home loan approval know best rate hdfc axisbank icici federalbank lic pnb,Positive
82,rt parakhnavin 25 25000 23430 axisbank axisbank axis,Neutral
83,advised guy keep shorting near 760 level couldnt come buying list axisbank httpstco7lkih9fwm1,Positive
84,axis bank make banking conversational enables secured communication whatsapp read httpstcodpkzbqjix7,Neutral
85,rt instaapr axis bank make banking conversational enables secured communication whatsapp read httpstco0gsxcadhnp,Neutral
86,rip milkhasingh httpstconrv7mwmkuw onlinepayment google googleforbusiness googlepay promotion httpstcokm7qlyxur0,Neutral
87,bharatpe talk raise 250 million led tiger capital report tigercapital bharatpe china httpstconritr4jpga,Neutral
88,bharatpe talk raise 250 million led tiger capital report tigercapital bharatpe china httpstcoodwcak2hhl,Neutral
89,axisbank axisbanksupport pls share nodalofficer pricipalnodaloffcier twitter handle digital method n httpstcoh2mtkggm6c,Neutral
90,axisbank axisbanksupport pls share nodalofficer pricipalnodaloffcier twitter handle digital method n httpstcoh2mtkggm6c,Neutral
91,axisbank axisbank axis axis bankninfty good buy near 685700 target 900 1100 1400 sl 670 httpstco4oyxa1kyja,Positive
92,rt namangoel29 axisbank axisbank axis axis bankninfty good buy near 685700 target 900 1100 1400 sl 670 httpst,Positive
93,rt himanimish thank shethepeopletv digitalwomanawards 2018 cnbc axisbank businessstandard damilanobrand,Neutral
94,rt himanimish thank shethepeopletv digitalwomanawards 2018 cnbc axisbank businessstandard damilanobrand,Neutral
95,axisbank nirmalasitharaman applied axis bank business loan interest subvention scheme sub httpstco2drqlh1duh,Neutral
96,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
97,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
98,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
99,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
100,fraud axisbank axis bank unauthorisely transferring money google pay httpstcocjlpfi9tyq,Neutral
101,rt drravindradewas fraud axisbank axis bank unauthorisely transferring money google pay httpstcocjlpfi9tyq,Neutral
102,axisbank looting hard money innocent people plz stop kind loot needful httpstcooqktsumzp0,Positive
103,rt s4sunil303 axisbank looting hard money innocent people plz stop kind loot needful cust,Positive
104,s4sunil303 axisbanksupport axisbank axisbanksupport r u sending message dm n httpstconklxgue1o5,Neutral
105,axisbanksupport great time bye bye axisbank cc,Positive
106,axisbanksupport harrashment axisbank even saying phone balance call paid number httpstcoccge9gzhsb,Neutral
107,warning axisbank cc httpstcogmz4ov1v39,Neutral
108,s4sunil303 axisbanksupport axisbank axisbanksupport r u sending message dm n httpstconklxgue1o5,Neutral
109,s4sunil303 axisbanksupport axisbank axisbanksupport r u sending message dm n httpstconklxgue1o5,Neutral
110,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps,Neutral
111,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps,Neutral
112,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps,Neutral
113,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps,Neutral
114,aajtak cnbc_awaaz zeebusiness upgovt dgpup axisbank httpstcolhom3tgfps,Neutral
115,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
116,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
117,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
118,axisbank give green signal yesbank sell reliancecapital asset per rbi guideline,Negative
119,axisbanksupport dubeysonuji never ending sir make customer fool false charge unwant httpstcozcczualgxm,Negative
120,axisbanksupport dubeysonuji never ending sir make customer fool false charge unwant httpstcozcczualgxm,Negative
121,hi maam view axisbank aswathiguna possible pt next week,Neutral
122,lakshminarash market bounce back expect minimum 50 r rally upside axisbank,Neutral
123,axisbank httpstco8gc1yavgu8,Neutral
124,nifty banknifty adaniport axisbank bajajauto bpcl britannia bhartiartl hcltech hdfc heromotoco hindalco httpstcowbfedg1wmq,Neutral
125,happy father day happyfathersday2021 fathersday grabdeals axisbank httpstcozwkhzpcuny,Positive
126,banking sector update stockmarket investing stock trading money investment finance icici knowledge httpstcogl1vujcdro,Neutral
127,rt bschool_bulls banking sector update stockmarket investing stock trading money investment finance icici knowledge busines,Neutral
128,axis bank httpstcoa4rnenrulk axisbank httpstcorhdhdlm5us,Neutral
129,axisbank nifty 745751 good supply zone 714687644 level view invalid 760 httpstcozahkhnlr3b,Positive
130,petrolprice httpstcowx5bqqnnjm,Neutral
131,buy axis cash axis bank fut 734735 sl 720 tgt 760780800 axisbank,Neutral
132,therosheshh huge seller 750 axisbank highly unlikely close level wi httpstcojkawngoxho,Negative
133,axisbank buy 760 keep sl 720 tgt 12 httpstcoeezkl9loli,Neutral
134,many heavyweight weak day sell rise sbin icicibank mnmfin axisbank itc tatamotors frontpage_app,Positive
135,irritating price trap since morning axisbank nifty trading zerodha httpstcoscrupk83dh,Negative
136,long overdue icicibank axisbank making intraday high together bank pvtbanks,Positive
137,icicibank calling people credit card protection number 911246525614 behalf axisbank stop haras httpstcoohl5yyyy2q,Neutral
138,axisbank provides poor complaint resolution talking customer care nightmare pathetic service,Negative
139,rt kumar_amit2812 axisbank provides poor complaint resolution talking customer care nightmare pathetic service,Negative
140,axisbank provides poor resolution locked account even paying credit card due,Negative
141,axisbank provides poor resolution account blocked even paying due credit card rbi mu httpstcoeethdvo0js,Negative
142,soon able pay smartwatch bank coming smart wearable ankur_sg httpstcoq0qku5z8ab,Positive
143,axis bank another leading commercial bank india offering best deal business loan need httpstcoo6av1aitjh,Positive
144,axis bank httpstcokjpspl1zfc,Neutral
145,axisbanksupport axisbank axisbank axisbankghatiyahai httpstcomyosw7vhl2,Neutral
146,axisbanksupport axisbank axisbank axisbankghatiyahai httpstcomyosw7vhl2,Neutral
147,rt russh_in legend spoken httpstcoylssyc9otv chellam familyman2 creditcard giveback offer cashback axisbank chell,Neutral
148,get r 1000 using russh app httpstconfckwghrfa giveback axisbank offer,Neutral
149,jackpotpremium tip 21st june result 2021 1 tatasteel fo july profit r 2154750lot httpstcowobkpxuups,Neutral
150,suggestion axis bank axisbank chart httpstco7obeydn0aw,Neutral
151,axisbank axisbanksupport done international payment using debit card transaction gett httpstcojecfrfkgfi,Neutral
152,axisbank axisbanksupport done international payment using debit card transaction gett httpstcojecfrfkgfi,Neutral
153,also need follow even several email branch manager answer axisbank axisbanksupport httpstcoeqdt3hyjxo,Neutral
154,axisbank tried many time increase apy amount rs1000 rs5000 plan visited axisbank seve httpstcoku23cqngsk,Positive
155,insurance person minimum salary must 50k avail personal loan non insurance p httpstcowbp5ldhzw8,Neutral
156,15 india bank technology axisbank icicibank kotak mahindrabank httpstcoycvdhfkj3h,Neutral
157,rt gomantakdainik 15 india bank technology axisbank icicibank kotak mahindrabank hdfcba,Neutral
158,rt livestockrates pubg owner set become billionaire kraftons mega ipo tbg livestockrates finance market trading nsel,Neutral
159,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua,Positive
160,axisbank mutualfund awesome axismutualfund disappointed last 1 year happy invester,Positive
161,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
162,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
163,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
164,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
165,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser,Positive
166,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54,Positive
167,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser,Positive
168,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54,Positive
169,rt kimansingh17 adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart courier ser,Positive
170,adiljal mercedesbenz mercedesbenzind great vehiclebut dont use axisbank fastag service bluedart couri httpstcokpzrprsf54,Positive
171,jayeshd90655240 hdfcbank_cares avoid axisbank,Neutral
172,jayeshd90655240 hdfcbank_cares avoid axisbank,Neutral
173,shrutikaraut6 worst bank came acrossall service axisbank worstincluding fastagt httpstcoufmrpsox44,Negative
174,rt kimansingh17 shrutikaraut6 worst bank came acrossall service axisbank worstincluding fastagthey ar,Negative
175,axisbanksupport nee_sri dont expect much support bankthey dm false promisesalso close yo httpstcoo1flzw0ass,Negative
176,axisbanksupport axisbank17 day lapsed since replacement request fastag raised ha httpstcoulglhh0ycm,Neutral
177,axisbanksupport axisbank resolved issue post account everyone see httpstcoeay2thktrp,Neutral
178,axisbank yet receive reply team behaving like fraudsters status query fraudbank,Neutral
179,axisbanksupport axisbank yet receive reply team behaving like fraudsters httpstcow5xqnvfn34,Neutral
180,axisbanksupport axisbank yet receive reply team reason sending fastag httpstcoq06qj8o9e7,Neutral
181,rt kimansingh17 axisbanksupport axisbank yet receive reply team behaving like fraudsters,Neutral
182,rt kimansingh17 axisbank yet receive reply team behaving like fraudsters status query,Neutral
183,axisbanksupport nee_sri dont expect much support bankthey dm false promisesalso close yo httpstcoo1flzw0ass,Negative
184,rt leothesher axisbank worst banking debited rs8400 accountstill waiting reversal bit 5 june c,Negative
185,axisbank seems getting ready upward journey httpstcon81xxdxpg5,Positive
186,rt mech118ar axisbank seems getting ready upward journey httpstcon81xxdxpg5,Positive
187,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua,Positive
188,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv,Neutral
189,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
190,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
191,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
192,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
193,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
194,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv,Neutral
195,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
196,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
197,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
198,focus pvt bank hdfcbank icicibank axisbank,Neutral
199,intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty httpstcocmuwhvvrdv,Neutral
200,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
201,rt dilko0483 intresting chart banknifty bank nifty wtg shivaji_1983 ameethvorra blisstrades hdfcbank banknifty iciciban,Neutral
202,axisbank target 74345 current level 730,Neutral
203,target achieved axisbank httpstco1lsv6cqylc,Neutral
204,axisbank worst banking debited rs8400 accountstill waiting reversal bit 5 june httpstcowyz4vqun2s,Negative
205,still recd revert axisbank passed 17 day awaiting reversal complaint 67763865 httpstcotfyfwehkl3,Negative
206,follow u update 360_financial_associates stockmarket stock stocktobuy sharemarket httpstconqgws3kdzj,Neutral
207,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
208,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
209,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
210,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
211,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
212,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
213,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
214,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
215,equiideas09 cnbc_awaaz cnbctv18news zeebusiness btvi bloombergquint smcglobal prudentbroking msflindia sir httpstcojppfwdvunh,Neutral
216,axisbank sell 742 stop loss 74250 target open segment future frontpage_app,Neutral
217,axisbank buy 743 stop loss 74250 target open segment future frontpage_app,Neutral
218,candletricks axisbank looking bullish httpstcomyastxopma httpstcotukdi0fnsl,Neutral
219,company grown profit highest rate nifty 50 index note purely f httpstcokgsd2ojqpe,Positive
220,marketupdate share axis bank logged strong gain last year outperforming benchmark ind httpstco5pl0ye0tti,Positive
221,marketupdate governance expert questioned proposed transaction pnb housing finance u pri httpstcojdhaed3cwf,Neutral
222,rt investonline_in marketupdate share axis bank logged strong gain last year outperforming benchmark index,Positive
223,httpstcounpsulchnt nifty banknifty relianceindustries nifty50 nifty sbin axisbank market stoc httpstconfhtcmxwtv,Neutral
224,axis bank stock jumped 72 last year read httpstcohryxr4doz3 latestnews axisbank stock httpstcolms9txm3w7,Neutral
225,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua,Positive
226,axisbank,Neutral
227,axisbank axisbanksupport something new side every month loan axisbank customersupport,Positive
228,axisbank axisbanksupport something new side every month loan axisbank customersupport,Positive
229,axisbanksupport guy nothing wanted wasted time dm want follow everything based httpstcoy5b9ytssl6,Negative
230,worst credit card service guy try mislead consumer cheap selling skill axisbank worstcreditcard axiscreditcard,Negative
231,rt geplcapital want invest midcap mutual fund take look 3 best performing mid cap mutualfunds nipponindia kotalmutua,Positive
232,axisbank 286 range closing basis past 21 session 29 day atm straddle 62 1405 httpstco3cxl8m5yk1,Negative
233,rt marketswithkr axisbank 286 range closing basis past 21 session 29 day atm straddle 62 1405,Negative
234,axisbank follow watch list httpstcoj7jwntp8pq,Neutral
235,rt srvithal388 axisbank follow watch list httpstcoj7jwntp8pq,Neutral
236,nowadays citizen r witnessing corporate bank like axisbank looting customer charging violating httpstcoyjf9vuzub1,Neutral
237,axisbank notified abiut charge account opening time writing change 30 day befor httpstco0ukvew8kzx,Neutral
238,sleeping type corporates bank like axisbank looting pl aware abiut righ httpstcof8gyjkvtqt,Positive
239,rt bandanamrs axisbank notified abiut charge account opening time writing change 30 day chang,Neutral
240,rt bandanamrs sleeping type corporates bank like axisbank looting pl aware abiut right ta,Positive
241,axisbanksupport axisbank pay charge deduct account name monthly minimu httpstcoheonfpogef,Neutral
242,axisbanksupport axisbank pay charge deduct account name monthly minimu httpstcoheonfpogef,Neutral
243,axisbank worst axisbank,Negative
244,recorded conversation well future reference showing poor quality service axisbank axisbank,Negative
245,axisbanksupport axisbank namesake support issue dm send u website link ask u reach customer httpstco3mcnpqkxai,Neutral
246,axisbank axisbanksupport past 39 min put hold 6 call transfer foe one qurey u keep httpstcoryhxqia8wa,Negative
247,axisbank axisbanksupport past 39 min put hold 6 call transfer foe one qurey u keep httpstcoryhxqia8wa,Negative
248,6axisbank eq profit rs6share 7sbilife eq loss rs540share 8nifty fut loss rs90002lot 9 httpstcoj1exetzjjx,Neutral
249,4adanient 1500pe june pending 5axisbank eq profit rs5share,Neutral
250,added axisbank jul 650 put 25 r sl 0 mbga nifty50 shortthemarket letusfightwithfed,Neutral
251,exit axisbank 37,Neutral
252,bank defrauds customer last 1 month axisbanks internet banking issue httpstcojimuin4lvs,Neutral
253,rt dharmit_joshi bank defrauds customer last 1 month axisbanks internet banking issue,Neutral
254,axisbank axisbankcreditcard rbi pmoindia vijayrupani pandemic bankcharges,Neutral
255,axisbanksupport dont waste time dm let talk people read give internet banking portal httpstcodpl5e7gkq4,Negative
256,rt dharmit_joshi axisbanksupport dont waste time dm let talk people read give internet banking portal,Negative
257,axisbanksupport screenshot axisbankfraudwithpeople axisbank bankfraud rbi httpstcoda3ykgy19q,Neutral
258,rt dharmit_joshi axisbanksupport screenshot axisbankfraudwithpeople axisbank bankfraud rbi httpstcoda,Neutral
259,rt niraj3392135 16221 108 day 4621 4621 1 imp number identified mentioned stock see major move,Positive
260,deepakshenoy axisbank also doesnt allowthats really stupid,Negative
261,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstco8yl0sminob,Positive
262,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstcoktgwox6yl4,Positive
263,save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz httpstco1fdhl52lhn,Positive
264,rt creditcardz_in save upto 7 monthly rent figure best ongoing rent payment offer credit card creditcardz,Positive
265,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja,Neutral
266,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz,Neutral
267,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst,Negative
268,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst,Negative
269,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja,Neutral
270,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz,Neutral
271,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst,Negative
272,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst,Negative
273,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja,Neutral
274,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz,Neutral
275,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst,Negative
276,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst,Negative
277,axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja,Neutral
278,axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz,Neutral
279,axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpstcoyogfvj5wex,Negative
280,axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpstcozysjaxzqt8,Negative
281,rt capitaltrends axisbank form gapdown pattern bearish httpstconk6boi0soy httpstcobojjpmtlja,Neutral
282,rt capitaltrends axisbank form threeweektight pattern bullish httpstco1sdkil1s2b httpstcovl9fv7plkz,Neutral
283,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstcoedtsbiffnm httpst,Negative
284,rt capitaltrends axisbank within 5 50day moving average buyingopportunity tradingopportunity httpstco4du3yitbtf httpst,Negative
285,rt anandapatil76,Neutral
286,axisbank abusive staff got fed shouted back henceforth anytime call cx care tag line httpstcoz659nvtuvi,Neutral
287,axisbanksupport finishinh payment activated card without permission charged httpstcoksu6fxddko,Neutral
288,rt anandapatil76,Neutral
289,rt anandapatil76,Neutral
